feature,regime,qkfm_importance,shap_importance,qkfm_rank,shap_rank
GAS_return,pre_crisis,0.35284231769374547,0.17380140721797943,1,2
OIL_return,pre_crisis,0.23216152336386167,0.3537207543849945,3,1
COAL_return,pre_crisis,0.2991369702815991,0.061779193580150604,2,6
ELEC_return,pre_crisis,0.11585918866079374,0.14312893152236938,4,3
IP_return,pre_crisis,,0.12609609961509705,,4
CPI_return,pre_crisis,,0.09683934599161148,,5
POLICY_dummy,pre_crisis,,0.0008333154255524278,,8
PHASE_dummy,pre_crisis,,0.0438009575009346,,7
GAS_return,crisis_onset,0.20138133191228735,0.19370729103684425,3,2
OIL_return,crisis_onset,0.3570309207866291,0.32286487333476543,1,1
COAL_return,crisis_onset,0.25822296335103123,0.1188444085419178,2,4
ELEC_return,crisis_onset,0.18336478395005223,0.08182473480701447,4,5
IP_return,crisis_onset,,0.1451643379405141,,3
CPI_return,crisis_onset,,0.07699757441878319,,6
POLICY_dummy,crisis_onset,,0.0005098124538562843,,8
PHASE_dummy,crisis_onset,,0.060086995363235474,,7
GAS_return,peak_crisis,0.24019177634326594,0.19427254796028137,2,2
OIL_return,peak_crisis,0.17801642682772198,0.1636343151330948,4,3
COAL_return,peak_crisis,0.39409585069177455,0.26815828680992126,1,1
ELEC_return,peak_crisis,0.18769594613723747,0.12326738983392715,3,5
IP_return,peak_crisis,,0.1300031840801239,,4
CPI_return,peak_crisis,,0.08248475193977356,,6
POLICY_dummy,peak_crisis,,0.0028602764941751957,,8
PHASE_dummy,peak_crisis,,0.035319313406944275,,7
