total_return_pct,ann_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,hit_rate_pct,win_loss_ratio,n_trades,n_obs,model,horizon,regime
12.1976,83.0754,1.8444,-132.5329,0.6268,48.65,1.4501,37,37,qk_svr,1,overall
4.0633,78.7661,1.803,-102.0038,0.7722,53.85,1.1798,13,13,qk_svr,1,pre_crisis
-2.1049,-88.4052,-1.3623,-4499.3662,-0.0196,33.33,1.6014,6,6,qk_svr,1,crisis_onset
6.3625,123.3345,3.1495,-81.0571,1.5216,46.15,1.998,13,13,qk_svr,1,peak_crisis
3.8766,195.3831,6.8925,-33.3351,5.8612,60.0,1.7673,5,5,qk_svr,1,post_crisis
-5.6349,-38.3779,-0.8476,-473.4244,-0.0811,48.65,0.9124,37,37,rbf_svm,1,overall
4.5382,87.9705,2.0169,-473.4244,0.1858,61.54,0.8937,13,13,rbf_svm,1,pre_crisis
2.4075,101.1159,1.56,-43.6117,2.3185,66.67,0.6449,6,6,rbf_svm,1,crisis_onset
-10.5143,-203.8153,-5.3915,-489.858,-0.4161,30.77,0.8878,13,13,rbf_svm,1,peak_crisis
-2.0662,-104.1389,-3.4483,-364.4336,-0.2858,40.0,0.9174,5,5,rbf_svm,1,post_crisis
4.9603,33.7837,0.7459,-473.4244,0.0714,56.76,0.8662,37,37,laplacian_svm,1,overall
0.9259,17.9477,0.4083,-473.4244,0.0379,61.54,0.6718,13,13,laplacian_svm,1,pre_crisis
15.2934,642.3217,12.5855,-10.8538,59.1792,83.33,1.8427,6,6,laplacian_svm,1,crisis_onset
-7.3823,-143.1028,-3.6794,-377.0914,-0.3795,46.15,0.6216,13,13,laplacian_svm,1,peak_crisis
-3.8766,-195.3831,-6.8925,-181.9737,-1.0737,40.0,0.5658,5,5,laplacian_svm,1,post_crisis
6.871,46.7968,1.0342,-137.0268,0.3415,56.76,0.9102,37,37,xgboost,1,overall
4.2236,81.8721,1.875,-117.238,0.6983,61.54,0.8714,13,13,xgboost,1,pre_crisis
